,id,cluster
187,52461407532,24
188,52462455863,24
189,52462458603,24
190,52461920866,24
191,52461920741,24
192,52461405582,24
193,52995470550,24
194,52462189254,24
195,52462456248,24
196,52461404997,24
197,52461920566,24
198,52462376350,24
199,52462376780,24
200,52462190544,24
201,52461921596,24
202,52462190804,24
203,52462458383,24
204,52461919541,24
205,52461921256,24
206,52461407062,24
207,51750676415,23
208,51750378504,23
209,51749730881,23
210,51748906777,23
211,51748907397,23
212,52909931204,23
213,51748972167,23
214,51750446499,23
215,51750447009,23
216,52505843886,23
217,52506321245,23
218,52505844156,23
219,52571728814,23
220,51748900422,23
221,51749977558,23
222,51749729361,23
223,51749976748,23
224,51749941398,23
225,51271551163,23
226,51351253431,23
227,52506320705,23
228,51749727591,23
229,52506114264,23
230,52506395223,23
231,52506320970,23
232,52505843846,23
233,51748855817,23
234,52505843626,23
235,51750594675,23
236,51748895792,23
237,51749726646,23
238,51750594925,23
239,51748898562,23
240,51748896962,23
241,51750602100,23
242,51750371179,23
243,51750369724,23
244,51749721956,23
245,51750370919,23
246,51490032097,22
247,51491751335,22
248,51491533034,22
249,51491751700,22
250,51542113439,22
251,51540602027,22
252,51542004521,22
253,51542317260,22
254,51542250558,22
255,51542004866,22
256,51376378397,22
257,51545346183,22
258,52486955444,22
259,51838683095,22
260,51545829229,22
261,51838301929,22
262,51491750495,22
263,51806088828,22
264,52168225281,22
265,52167251052,22
266,52169819176,22
267,52169835413,22
268,52172019870,22
269,52172574341,22
270,52174442708,22
271,52179686543,22
272,52179686793,22
273,52910229648,22
274,52178654167,22
275,52182110000,22
276,52180637367,22
277,52184131106,22
278,52184138163,22
279,52184138328,22
280,51865607339,22
281,51864095629,22
282,51862061031,22
283,51862716735,22
284,52370006248,22
285,51914892842,22
286,51838301734,22
287,51859269170,22
288,51836997447,22
289,52862419235,22
290,51836997012,22
291,51858781757,22
292,51733480036,26
293,51734379070,26
294,51733721573,26
295,51734369840,26
296,51734407810,26
297,51733716433,26
298,51733479866,26
299,51734407425,26
300,51732678752,26
301,51734384225,26
302,51734370950,26
303,51732656247,26
304,51733480926,26
305,51732656917,26
306,51733718003,26
307,51732657122,26
308,51733481551,26
309,51733481656,26
310,51734129199,26
311,51732654772,26
312,51734172714,26
313,51733481956,26
314,51733476971,26
315,51734125814,26
316,51734125959,26
317,51862141308,25
318,51734126114,26
319,51732652882,26
320,51733714453,26
321,51732653102,26
322,51733477751,26
323,51733714928,26
324,51734127044,26
325,51732653787,26
326,51732653907,26
327,51732654012,26
328,51734368865,26
329,51734127664,26
330,51734128039,26
331,51733759758,26
332,51733734608,26
333,51733718443,26
334,51734372560,26
335,51734151279,26
336,51734131029,26
337,51734137984,26
338,51734138289,26
339,51734173659,26
340,51734415610,26
341,51733726758,26
342,51734139659,26
343,51734393505,26
344,51733492101,26
345,51733760498,26
346,51734383570,26
347,51734145184,26
348,51733733563,26
349,51733733698,26
350,51733733833,26
351,51732673947,26
352,51734415210,26
353,51733498926,26
354,51734148529,26
355,51734150309,26
356,51732700877,26
357,51733740008,26
358,51734395620,26
359,51734135094,26
360,51732691182,26
361,51734131334,26
362,51732689567,26
363,51861097587,25
364,51862714475,25
365,51734373670,26
366,51733720258,26
367,51733484871,26
368,51733488336,26
369,51733507976,26
370,51734366635,26
371,51733761773,26
372,51734174049,26
373,51733526096,26
374,51734403790,26
375,51733746178,26
376,51733508766,26
377,51733760133,26
378,51733476561,26
379,51733474856,26
380,51733476311,26
381,51733520853,26
382,51734173280,26
383,51734173440,26
384,52589138601,25
385,52588657952,25
386,51732459287,26
387,51733932079,26
388,51733932239,26
389,51733932349,26
390,51733284476,26
391,51732460017,26
392,51733932659,26
393,51732460222,26
394,51734174510,26
395,51734174615,26
396,51805953781,25
397,51792141971,25
398,51946308072,25
399,51960855400,25
400,51733933199,26
401,51732458957,26
402,51734173080,26
403,52589138691,25
404,51806208981,25
405,51838474936,25
406,51837525042,25
407,51806569799,25
408,51806213066,25
409,51806933685,25
410,51806209316,25
411,51805249462,25
412,51806933385,25
413,51607405753,25
414,51733931404,26
415,52588677177,25
416,52588677157,25
417,52589589580,25
418,52589420059,25
419,52589420034,25
420,52589139076,25
421,51733518733,26
422,51734172740,26
423,51733520763,26
424,51733285646,26
425,51734125009,26
426,51733285796,26
427,51733473671,26
428,51733473816,26
429,52234466262,26
430,51732649187,26
431,51734122824,26
432,51733474361,26
